id,truong,phuong_xa,latitude,longitude,ban_kinh_m
389,TIỂU HỌC AN LẠC 2,An Lạc,10.7538525,106.6206698,200
392,TIỂU HỌC AN LẠC 3,An Lạc,10.7389957,106.6131263,200
506,TIỂU HỌC BÌNH TRỊ 2,An Lạc,10.7490461,106.6169734,200
390,TIỂU HỌC LÊ CÔNG PHÉP,An Lạc,10.7375730,106.6212286,200
393,TRUNG HỌC CƠ SỞ AN LẠC,An Lạc,10.7565585,106.6208654,200
380,TIỂU HỌC AN LONG,An Long,11.3511020,106.6905498,200
387,TIỂU HỌC TÂN LONG,An Long,11.3269749,106.6749749,200
374,TIỂU HỌC VÀ TRUNG HỌC CƠ SỞ AN LINH,An Long,11.3683843,106.7253230,200
299,Trường Tiểu học Phú Mỹ Hưng ,An Nhơn Tây,11.1295039,106.4781177,200
294,TIỂU HỌC TÂN THÀNH,Bắc Tân Uyên,11.1396587,106.8435384,200
298,TIỂU HỌC & TRUNG HỌC CƠ SỞ TÂN MỸ,Bắc Tân Uyên,11.0522322,106.8362034,200
303,TRUNG HỌC CƠ SỞ TÂN THÀNH,Bắc Tân Uyên,11.1314347,106.8425767,200
285,TRƯỜNG TIỂU HỌC ĐẤT CUỐC,Bắc Tân Uyên,11.1154880,106.8628576,200
342,TRUNG HỌC CƠ SỞ BÙI VĂN THỦ,Bà Điểm,10.8338591,106.5984131,200
347,TRUNG HỌC CƠ SỞ NGUYỄN VĂN BỨA,Bà Điểm,10.8711332,106.5372014,200
541,TRƯỜNG THPT NGUYỄN HỮU CẦU,Bà Điểm,10.8682637,106.6147724,200
474,MẦM NON HỌA MI,Bà Rịa,10.5061206,107.1755079,200
475,MẦM NON PHƯỚC HIỆP,Bà Rịa,10.4983915,107.1753501,200
476,MẦM NON PHƯỚC NGUYÊN,Bà Rịa,10.5041026,107.1800248,200
507,MẦM NON SƠN CA,Bà Rịa,10.4896750,107.1854722,200
509,THCS PHƯỚC HƯNG,Bà Rịa,10.5132284,107.1789178,200
485,TIỂU HỌC LÊ THÀNH DUY,Bà Rịa,10.4905084,107.1748547,200
427,TH Hòa Bình,Bến Nghé,10.7788997,106.6989168,200
438,THCS Bình Chánh,Bình Chánh,10.6634201,106.5649524,200
435,TH Tân Quý Tây,Bình Chánh,10.6573399,106.5876150,200
552,TH LÊ HỮU TRÁC,Bình Hưng Hòa,11.8584860,107.4895160,200
371,TIỂU HỌC TRIỆU QUANG PHỤC,Bình Hưng Hòa,10.8143118,106.6053188,200
469,Trường Tiểu học Bình Hưng Hòa,Bình Hưng Hòa,10.8225551,106.6053871,200
468,Trường Tiểu học Lạc Hồng,Bình Hưng Hòa,10.7923280,106.5998381,200
284,TRƯỜNG TIỂU HỌC BÌNH KHÁNH,Bình Khánh,10.6609454,106.7774534,200
283,Trường Mầm non Bình Mỹ ,Bình Mỹ,10.9247960,106.6258670,200
288,Trường Tiểu học Bình Mỹ ,Bình Mỹ,10.9266320,106.6341684,200
310,Trường Tiểu học Trung An,Bình Mỹ,10.9953030,106.5935018,200
540,TH NGÔ QUYỀN,Bình Tân,10.8037409,106.5915388,200
293,Trường Tiểu học Ngô Quyền ,Bình Tân,10.8037409,106.5915388,200
309,Trường Tiểu học Trần Cao Vân,Bình Tân,10.7637809,106.5703869,200
467,Trường Tiểu học Trần Văn Ơn ,Bình Tân,10.8222515,106.6003757,200
446,THCS Hoàng Lê Kha ,Bình Tây,10.7525117,106.6414607,200
449,THCS Nguyễn Đức Cảnh,Bình Tây,10.7539293,106.6434208,200
440,THCS Bình Tây,Bình Tiên,10.7472145,106.6515412,200
501,TH Lê Văn Tám,Bình Tiên,10.7620036,106.6775779,200
513,TIỂU HỌC CẦN THẠNH ,Cần Giờ,10.4145110,106.9724782,200
305,TIỂU HỌC ĐỒNG HÒA,Cần Giờ,10.3823917,106.8865643,200
429,TH Lý Nhân Tông,Chánh Hưng,10.7460421,106.6715330,200
434,TH Rạch Ông,Chánh Hưng,10.7449906,106.6889590,200
436,TH Thái Hưng,Chánh Hưng,10.7378389,106.6725150,200
556,THCS CỦ CHI,Củ Chi,10.9416887,106.5406445,200
304,Trường Tiểu học Tân Phú,Củ Chi,10.9598566,106.5461404,200
362,TIỂU HỌC LÝ THƯỜNG KIỆT,Dĩ An,10.9083641,106.7586326,200
365,TIỂU HỌC NGUYỄN THỊ MINH KHAI,Đông Hưng Thuận,10.8412089,106.6157418,200
550,TH TAM ĐÔNG,Đông Thạnh,10.8826776,106.6171185,200
340,TIỂU HỌC VÕ VĂN THẶNG,Đông Thạnh,10.9115122,106.6745029,200
444,THCS Hòa Hưng,Hòa Hưng,10.7817561,106.6722212,200
448,THCS Lạc Hồng,Hòa Hưng,10.7695121,106.6687174,200
454,THCS Trần Phú ,Hòa Hưng,10.7831980,106.6615548,200
321,TIỂU HỌC CẦU XÁNG,Hóc Môn,10.9079038,106.5965208,200
515,TIỂU HỌC MỸ HOÀ ,Hóc Môn,10.8698269,106.6033618,200
338,TIỂU HỌC TRƯƠNG VĂN NGÀI,Hóc Môn,10.8940861,106.5952026,200
345,TRUNG HỌC CƠ SỞ NGUYỄN AN KHƯƠNG,Hóc Môn,10.8883250,106.5861914,200
442,THCS Đa Phước,Hưng Long,10.6742636,106.6511508,200
452,THCS Qui Đức,Hưng Long,10.6406811,106.6452172,200
553,Tiểu học Qui Đức,Hưng Long,10.8075281,106.6255282,200
441,THCS Chi Lăng,Khánh Hội,10.7626857,106.7007008,200
300,TIỂU HỌC & TRUNG HỌC CƠ SỞ TÂN THỚI,Lái Thiêu,10.7822950,106.6732322,200
