id,truong,phuong_xa,dia_chi,co_link_maps,nhan_vien_phu_trach
389,TIỂU HỌC AN LẠC 2,An Lạc,"121 Phùng Tá Chu, KP 07, phường An Lạc, TP Hồ Chí Minh, Việt Nam.",không,Nguyễn Thị Cẩm Nhung
392,TIỂU HỌC AN LẠC 3,An Lạc,"504/58C Kinh Dương Vương, Kp 1, phường An Lạc A, Quận Bình Tân, TP Hồ Chí Minh, Việt Nam.",không,Nguyễn Thị Cẩm Nhung
506,TIỂU HỌC BÌNH TRỊ 2,An Lạc,"88A, Đường số 3, Phường An Lạc, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thị Cẩm Nhung
390,TIỂU HỌC LÊ CÔNG PHÉP,An Lạc,"Số 01, đường số 1A KP6, phường An Lạc, TP Hồ Chí Minh, Việt Nam.",không,Nguyễn Thị Cẩm Nhung
393,TRUNG HỌC CƠ SỞ AN LẠC,An Lạc,"4B Phùng Tá Chu, KP 7, Phường An Lạc, TP Hồ Chí Minh, Việt Nam.",không,Nguyễn Thị Cẩm Nhung
380,TIỂU HỌC AN LONG,An Long,"Ấp Xóm Quạt, xã An Long, TP Hồ Chí Minh, Việt Nam.",không,Trần Thị Mộng Vân
387,TIỂU HỌC TÂN LONG,An Long,"Ấp 2 xã An Long, TP Hồ Chí Minh, Việt Nam.",không,Trần Thị Mộng Vân
374,TIỂU HỌC VÀ TRUNG HỌC CƠ SỞ AN LINH,An Long,"Ấp 9, xã An Long, TP Hồ Chí Minh, Việt Nam.",không,Trần Thị Mộng Vân
299,Trường Tiểu học Phú Mỹ Hưng ,An Nhơn Tây,"Số 14, Đường Phú Thuận, Ấp Phú Lợi, Xã An Nhơn Tây, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thái Hùng
294,TIỂU HỌC TÂN THÀNH,Bắc Tân Uyên,"Tân Thành, Xã Bắc Tân Uyên, TP Hồ Chí Minh, Việt Nam.",không,Ngô Thị Thanh Tâm
298,TIỂU HỌC & TRUNG HỌC CƠ SỞ TÂN MỸ,Bắc Tân Uyên,"KP Vườn Vũ, Xã Bắc Tân Uyên, TP Hồ Chí Minh, Việt Nam.",không,Ngô Thị Thanh Tâm
303,TRUNG HỌC CƠ SỞ TÂN THÀNH,Bắc Tân Uyên,"Ấp Tân Thành 5, Xã Bắc Tân Uyên, TP Hồ Chí Minh, Việt Nam.",không,Ngô Thị Thanh Tâm
285,TRƯỜNG TIỂU HỌC ĐẤT CUỐC,Bắc Tân Uyên,"Ấp Đá Bàn, Xã Bắc Tân Uyên, TP Hồ Chí Minh, Việt Nam.",không,Ngô Thị Thanh Tâm
342,TRUNG HỌC CƠ SỞ BÙI VĂN THỦ,Bà Điểm,"139 Đường Bùi Văn Thủ, ấp Tiền Lân 9, Xã Bà Điểm, TP Hồ Chí Minh, Việt Nam.",không,Thái Thị Như Ý
347,TRUNG HỌC CƠ SỞ NGUYỄN VĂN BỨA,Bà Điểm,"1139 Đường Nguyễn Văn Bứa, ấp 51, xã Bà Điểm, TP Hồ Chí Minh, Việt Nam.",không,Thái Thị Như Ý
541,TRƯỜNG THPT NGUYỄN HỮU CẦU,Bà Điểm,"Số 3 Đường Tô Ký ấp Mỹ Huề, Xã Bà Điểm, Thành phố Hồ Chí Minh, Việt Nam",không,Tô Bá Quyền
474,MẦM NON HỌA MI,Bà Rịa,"Số 21 Huỳnh Khương An, KP 7 Phước Hưng, phường Bà Rịa, TP HCM.",không,Lê Thị Nhật Khanh
475,MẦM NON PHƯỚC HIỆP,Bà Rịa,"Đường Huỳnh Tấn Phát, KP 5 Phước Hiệp, phường Bà Rịa, TP HCM.",không,Lê Thị Nhật Khanh
476,MẦM NON PHƯỚC NGUYÊN,Bà Rịa,"Đường Nguyễn Hồng Lam, KP 4- Phước Nguyên, phường Bà Rịa, TP HCM.",không,Lê Thị Nhật Khanh
507,MẦM NON SƠN CA,Bà Rịa,"Đường Hà Huy Tập, Khu Phố 4, phường Bà Rịa, TP HCM.",không,Lê Thị Nhật Khanh
509,THCS PHƯỚC HƯNG,Bà Rịa,"Tổ 4, Khu Phố 4, phường Phước Hưng",không,Lê Thị Nhật Khanh
485,TIỂU HỌC LÊ THÀNH DUY,Bà Rịa,"Số 2, Ngô Gia Tự, phường Bà Rịa, TP HCM.",không,Lê Thị Nhật Khanh
427,TH Hòa Bình,Bến Nghé,"Số 1 Công xã Paris, Phường Bến Nghé, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
438,THCS Bình Chánh,Bình Chánh,"Số 11 Nguyễn Thị Dững, Ấp 16, Xã Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam ",không,Bùi Huy Hoàng
435,TH Tân Quý Tây,Bình Chánh,"266 Hương lộ 11, Ấp 26, Xã Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
545,TIỂU HỌC TRẦN ĐẠI NGHĨA,Bình Hưng Hòa,"Hương Lộ 3, Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh",không,Mai Thị Thanh Phượng
528,TIỂU HỌC TRẦN ĐẠI NGHĨA ,Bình Hưng Hòa,"số 333 Hương Lộ 3, Phường Bình Hưng Hòa, TP.HCM",không,Mai Thị Thanh Phượng
371,TIỂU HỌC TRIỆU QUANG PHỤC,Bình Hưng Hòa,"655/40 Lê Trọng Tấn, Phường Bình Hưng Hòa, TP Hồ Chí Minh, Việt Nam.",không,Mai Thị Thanh Phượng
544,TIỂU HỌC TRIỆU QUANG PHỤC,Bình Hưng Hòa,"655/40 LÊ TRỌNG TÂN, Phường Bình Hưng Hòa, TP Hồ Chí Minh, Việt Nam",không,Mai Thị Thanh Phượng
469,Trường Tiểu học Bình Hưng Hòa,Bình Hưng Hòa,"88/2 Đường số 18, Khu phố 2, Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thị Cẩm Nhung
468,Trường Tiểu học Lạc Hồng,Bình Hưng Hòa,"1014/88/11 Tân Kỳ Tân Quý, Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thị Cẩm Nhung
284,TRƯỜNG TIỂU HỌC BÌNH KHÁNH,Bình Khánh,"Ấp Bình Thạnh, Xã Bình Khánh, TP Hồ Chí Minh, Việt Nam.",không,Ngô Thị Thanh Tâm
288,Trường Tiểu học Bình Mỹ ,Bình Mỹ,"339, Đường Bình Mỹ, Ấp 22, Xã Bình Mỹ, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thái Hùng
310,Trường Tiểu học Trung An,Bình Mỹ,"Đường Võ Thị Hồng, Ấp Chợ 1, Xã Bình Mỹ, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thái Hùng
540,TH NGÔ QUYỀN,Bình Tân,"118 Đường số 3, Khu dân cư Vĩnh Lộc, Phường Bình Tân, TP. Hồ Chí Minh",không,Mai Thị Thanh Phượng
293,Trường Tiểu học Ngô Quyền ,Bình Tân,"Số 118, Đường số 3, KDC Vĩnh Lộc, Phường Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thái Hùng
309,Trường Tiểu học Trần Cao Vân,Bình Tân,"18 Đường Võ Văn Vân, Phường Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thái Hùng
467,Trường Tiểu học Trần Văn Ơn ,Bình Tân,"160B, Hồ Văn Long, Phường Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",không,Nguyễn Thị Cẩm Nhung
446,THCS Hoàng Lê Kha ,Bình Tây,"383-391 Bến Phú Lâm, Phường Bình Tây, Thành phố Hồ Chú Minh, Việt Nam",không,Bùi Huy Hoàng
449,THCS Nguyễn Đức Cảnh,Bình Tây,"242 Minh Phụng, Phường Bình Tây, Thành phố Hồ Chí Minh, Việt Nam ",không,Bùi Huy Hoàng
440,THCS Bình Tây,Bình Tiên,"36A Bình Tây, Phường Bình Tiên, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
501,TH Lê Văn Tám,Bình Tiên,"30/4 Nguyễn Đình Chi, Phường Bình Tây, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
513,TIỂU HỌC CẦN THẠNH ,Cần Giờ,"130 Duyên Hải , thị trấn cần thạnh , huyện cần giờ ",không,Ngô Thị Thanh Tâm
305,TIỂU HỌC ĐỒNG HÒA,Cần Giờ,"Ấp Đồng Tranh, Xã Cần Giờ, TP Hồ Chí Minh, Việt Nam.",không,Ngô Thị Thanh Tâm
429,TH Lý Nhân Tông,Chánh Hưng,"575-577 Hưng Phú, Phường Chánh Hưng, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
434,TH Rạch Ông,Chánh Hưng,"284 Dương Bá Trạc, Phường Chánh Hưng, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
436,TH Thái Hưng,Chánh Hưng,"785 Tạ Quang Bửu, Phường Chánh Hưng, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
556,THCS CỦ CHI,Củ Chi,"Số 4, đường 77 ấp Đình, xã Củ Chi, TPHCM",không,Thái Thị Như Ý
304,Trường Tiểu học Tân Phú,Củ Chi,"Đường Hồ Văn Tắng, Ấp Cây Da, Xã Củ Chi, Thành Phố Hồ Chí Minh, Việt Nam ",không,Nguyễn Thái Hùng
362,TIỂU HỌC LÝ THƯỜNG KIỆT,Dĩ An,"Đường Nguyễn Trãi, KP Thống Nhất 1, phường Dĩ An, TP Hồ Chí Minh, Việt Nam.",không,Mai Thị Thanh Phượng
365,TIỂU HỌC NGUYỄN THỊ MINH KHAI,Đông Hưng Thuận,"11AT1 KP.01, Phường Đông Hưng Thuận, TP Hồ Chí Minh, Việt Nam.",không,Mai Thị Thanh Phượng
550,TH TAM ĐÔNG,Đông Thạnh,"152/5B Phạm Thị Giây, ấp 80, xã Đông Thạnh,Thành phố Hồ Chí Minh.",không,Thái Thị Như Ý
340,TIỂU HỌC VÕ VĂN THẶNG,Đông Thạnh,"170 Bùi Công Trừng, Xã Đông Thạnh, TP Hồ Chí Minh, Việt Nam.",không,Thái Thị Như Ý
444,THCS Hòa Hưng,Hòa Hưng,"493/73A Cách mạng tháng 8, Phường Hòa Hưng, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
448,THCS Lạc Hồng,Hòa Hưng,"436/4 Đường 3/2, Phường Hòa Hưng, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
454,THCS Trần Phú ,Hòa Hưng,"Số 1 Cửu Long, C/X Bắc Hải, Phường Hòa Hưng, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
321,TIỂU HỌC CẦU XÁNG,Hóc Môn,"50 ấp Thới Tây 2, Xã Hóc Môn, TP Hồ Chí Minh, Việt Nam.",không,Thái Thị Như Ý
515,TIỂU HỌC MỸ HOÀ ,Hóc Môn," 58/8D Mỹ Hòa 3, Xã Hóc Môn, TP Hồ Chí Minh, Việt Nam",không,Thái Thị Như Ý
338,TIỂU HỌC TRƯƠNG VĂN NGÀI,Hóc Môn,"107, 108 Ấp 4, Xã Hóc Môn, TP Hồ Chí Minh, Việt Nam.",không,Thái Thị Như Ý
345,TRUNG HỌC CƠ SỞ NGUYỄN AN KHƯƠNG,Hóc Môn,"66/6 Lê Thị Hồng Gấm, Ấp 28, Xã Hóc Môn, TP Hồ Chí Minh, Việt Nam.",không,Thái Thị Như Ý
442,THCS Đa Phước,Hưng Long,"2321 Văn Tiến Dũng, Ấp 35, Xã Hưng Long, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
452,THCS Qui Đức,Hưng Long,"B10/21 Ấp 22, Xã Hưng Long, Thành phố Hồ Chí Minh, Việt Nam",không,Bùi Huy Hoàng
553,Tiểu học Qui Đức,Hưng Long,"",không,Bùi Huy Hoàng
